"","Community","SPA","SD","CD","ca_ssd","ca_sad","us_cd","DemogSurvCt","YouthSurvCt","SheltHmisCt","totStreetSingAdult","totStreetFamHH","totStreetFamMem","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","FamCarHH","FamVanHH","FamCamperHH","FamTentHH","FamEncampHH","FamCarPeople","FamVanPeople","FamCamperPeople","FamTentPeople","FamEncampPeople","IndCarPeople","IndVanPeople","IndCamperPeople","IndTentPeople","IndEncampPeople","totYouthFamHH","totESAdultSingAdult","totESAdultFamHH","totESAdultFamMem","totESYouthSingYouth","totESYouthFamHH","totESYouthFamMem","totESYouthUnaccYouth","totTHAdultSingAdult","totTHAdultFamHH","totTHAdultFamMem","totTHYouthSingYouth","totTHYouthFamHH","totTHYouthFamMem","totTHYouthUnaccYouth","totSHAdultSingAdult","totSHAdultFamHH","totSHAdultFamMem","totSHYouthSingYouth","totSHYouthFamHH","totSHYouthFamMem","totSHYouthUnaccYouth","totUnsheltPeople","totESPeople","totTHPeople","totSHPeople","totSheltPeople","totPeople","count_311","count_crime"
"68","Hacienda Heights",3,4,0,32,57,39,3,0,0,14,0,0,10,1,2,0,6,15.906,1.808,4.19,0,11.554,0.512,0.022,0.064,0,0.034,1.514,0.075,0.222,0,0.125,14.392,1.733,3.968,0,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.458,0,0,0,0,47.458,0,0
"69","Harbor City",8,4,15,35,66,43,16,0,0,19,0,0,2,7,28,2,7,3.182,12.656,58.657,3.406,13.479,0.102,0.153,0.886,0.012,0.039,0.302,0.525,3.113,0.042,0.145,2.878,12.132,55.544,3.362,13.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.38,0,0,0,0,110.38,37,19
"70","Harbor Gateway",6,2,15,30,64,43,1,1,0,55,0,0,12,4,21,11,28,19.089,7.232,43.993,18.731,53.916,0.614,0.088,0.665,0.063,0.157,1.816,0.3,2.334,0.236,0.578,17.27,6.932,41.657,18.494,53.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.961,0,0,0,0,197.961,107,9
"71","Hawaiian Gardens",7,4,0,32,63,38,0,0,0,20,0,0,3,7,2,3,3,4.772,12.656,4.19,5.108,5.777,0.154,0.152,0.064,0.017,0.017,0.454,0.525,0.222,0.064,0.062,4.318,12.132,3.968,5.044,5.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.503,0,0,0,0,52.503,0,0
"72","Hawthorne",8,2,0,35,62,43,35,6,6,19,0,0,10,5,10,0,2,15.907,9.04,20.95,0,3.852,0.512,0.109,0.317,0,0.012,1.514,0.375,1.111,0,0.042,14.392,8.665,19.837,0,3.81,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,68.749,0,5,0,5,73.749,0,0
"73","Hermosa Beach",8,4,0,26,66,33,0,0,7,10,0,0,0,0,1,0,1,0,0,2.095,0,1.926,0,0,0.032,0,0.006,0,0,0.111,0,0.021,0,0,1.984,0,1.905,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.021,5,0,0,5,19.021,0,0
"74","Highland Park",4,1,14,24,51,34,4,0,0,26,0,0,11,14,32,9,7,17.498,25.312,67.034,15.325,13.48,0.563,0.304,1.014,0.052,0.04,1.665,1.05,3.559,0.193,0.145,15.831,24.264,63.478,15.131,13.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.649,0,0,0,0,164.649,162,12
"75","Hollywood",4,3,4,25,43,28,299,167,888,346,0,0,59,65,63,140,109,93.848,117.527,131.977,238.391,209.886,3.02,1.415,1.996,0.797,0.613,8.934,4.875,7.004,3.007,2.25,84.912,112.654,124.973,235.381,207.633,1.051,114,9,32,88,1,5,19,20,6,16,98,0,0,10,0,0,0,0,0,0,0,1137.629,275,127,0,402,1539.629,1704,110
"76","Hollywood Hills West",2,3,4,26,46,28,4,11,5,91,0,0,10,5,4,15,12,15.907,9.04,8.38,25.541,23.107,0.512,0.109,0.126,0.086,0.067,1.514,0.375,0.444,0.321,0.248,14.392,8.665,7.934,25.219,22.86,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,172.975,0,8,0,8,180.975,361,15
"77","Huntington Park",7,1,0,33,53,40,0,0,0,95,0,0,12,1,9,5,25,19.089,1.808,18.854,8.514,48.138,0.614,0.022,0.285,0.029,0.139,1.815,0.075,1,0.106,0.517,17.27,1.733,17.853,8.406,47.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.403,0,0,0,0,191.403,0,0
"78","Industry",3,4,0,29,55,39,17,0,0,52,0,0,0,2,4,20,28,0,3.616,8.38,34.056,53.916,0,0.043,0.126,0.114,0.158,0,0.15,0.444,0.429,0.578,0,3.466,7.934,33.626,53.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.968,0,0,0,0,151.968,0,0
"79","Inglewood",8,2,0,35,62,43,41,2,148,108,1,3,18,15,4,7,11,28.632,27.12,8.38,11.92,21.183,0.923,0.326,0.128,0.04,0.063,2.725,1.125,0.444,0.149,0.228,25.907,25.995,7.936,11.769,20.955,0,23,0,0,0,0,0,0,91,0,0,7,2,6,0,0,0,0,0,0,0,0,208.235,23,104,0,127,335.235,4,1
"80","Irwindale",3,1,0,22,48,32,0,5,0,13,0,0,7,2,6,2,3,11.135,3.616,12.569,3.406,5.777,0.358,0.043,0.19,0.011,0.017,1.06,0.15,0.667,0.043,0.062,10.074,3.466,11.902,3.363,5.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.503,0,0,0,0,49.503,0,0
"81","Kinneloa Mesa",3,5,0,25,41,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"82","La Cañada Flintridge",2,5,0,25,43,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","La Crescenta-Montrose",2,5,0,25,43,28,0,0,0,0,0,0,0,0,1,0,0,0,0,2.095,0,0,0,0,0.032,0,0,0,0,0.111,0,0,0,0,1.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.095,0,0,0,0,2.095,0,0
"84","La Habra Heights",7,4,0,32,57,39,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
"85","La Mirada",7,4,0,32,57,38,0,0,0,2,0,0,0,0,4,0,1,0,0,8.38,0,1.926,0,0,0.127,0,0.006,0,0,0.445,0,0.021,0,0,7.935,0,1.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.306,0,0,0,0,12.306,0,0
"86","La Puente",3,1,0,22,57,32,5,0,0,14,0,0,0,0,3,0,3,0,0,6.285,0,5.777,0,0,0.095,0,0.017,0,0,0.333,0,0.062,0,0,5.951,0,5.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.062,0,0,0,0,26.062,0,0
"87","La Rambla",8,4,15,35,70,44,1,0,0,2,0,0,1,4,5,0,1,1.591,7.232,10.474,0,1.926,0.051,0.087,0.158,0,0.006,0.151,0.3,0.556,0,0.021,1.439,6.933,9.918,0,1.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.223,0,0,0,0,23.223,0,0
"88","La Verne",3,5,0,25,41,32,0,0,0,2,0,0,3,0,1,0,1,4.772,0,2.095,0,1.926,0.153,0,0.032,0,0.006,0.454,0,0.111,0,0.021,4.317,0,1.984,0,1.905,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,10.793,0,26,0,26,37,0,0
"89","Ladera Heights",5,2,0,30,54,37,0,0,0,1,0,0,5,5,0,0,0,7.953,9.041,0,0,0,0.256,0.109,0,0,0,0.757,0.375,0,0,0,7.196,8.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.994,0,0,0,0,17.994,0,0
"90","Lake Balboa",2,3,6,18,46,29,106,6,0,40,0,0,17,7,38,40,74,27.041,12.656,79.606,68.112,142.49,0.87,0.152,1.202,0.228,0.415,2.574,0.525,4.225,0.859,1.526,24.466,12.132,75.38,67.251,140.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.905,0,0,0,0,369.905,296,13
"91","Lakewood",7,4,0,32,63,38,12,0,0,34,0,0,13,8,8,2,16,20.678,14.464,16.76,3.406,30.812,0.665,0.175,0.254,0.012,0.092,1.969,0.6,0.889,0.042,0.332,18.709,13.864,15.87,3.362,30.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.12,0,0,0,0,120.12,0,0
"92","Lancaster",1,5,0,21,36,25,242,76,1900,153,0,0,20,5,34,36,114,31.815,9.04,71.227,61.302,219.513,1.023,0.109,1.075,0.203,0.641,3.025,0.375,3.78,0.772,2.354,28.783,8.665,67.445,60.529,217.158,52.55,78,0,0,2,0,0,0,0,0,0,12,2,4,0,0,0,0,0,0,0,0,545.897,80,16,0,96,641.897,0,0
"93","Lawndale",8,2,0,35,62,43,17,0,0,16,0,0,0,0,4,0,4,0,0,8.38,0,7.702,0,0,0.127,0,0.022,0,0,0.445,0,0.083,0,0,7.935,0,7.62,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,32.082,0,10,0,10,42.082,0,0
"94","Lennox",8,2,0,35,62,43,40,0,0,41,0,0,24,12,12,0,9,38.176,21.697,25.138,0,17.33,1.23,0.26,0.381,0,0.051,3.635,0.9,1.334,0,0.186,34.542,20.797,23.805,0,17.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.341,0,0,0,0,143.341,0,0
"95","Lincoln Heights",4,1,1,24,51,34,17,9,0,40,0,0,9,16,30,7,35,14.317,28.93,62.847,11.921,67.393,0.46,0.347,0.95,0.039,0.196,1.361,1.2,3.336,0.15,0.721,12.952,27.73,59.51,11.77,66.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.408,0,0,0,0,225.408,132,21
"96","Lomita",8,4,0,26,66,43,0,0,0,3,0,0,1,2,4,0,0,1.591,3.616,8.38,0,0,0.051,0.043,0.127,0,0,0.151,0.15,0.445,0,0,1.439,3.466,7.935,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,16.587,0,14,0,14,30.587,0,1
"97","Los Feliz",4,3,4,24,43,28,0,3,0,59,0,0,2,8,3,23,17,3.182,14.464,6.285,39.164,32.735,0.102,0.174,0.096,0.131,0.096,0.302,0.6,0.333,0.494,0.351,2.878,13.864,5.952,38.67,32.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.83,0,0,0,0,154.83,112,9
"98","Lynwood",6,2,0,33,63,44,7,2,0,46,0,0,4,6,9,8,19,6.363,10.848,18.855,13.622,36.586,0.204,0.13,0.286,0.046,0.107,0.605,0.45,1,0.171,0.393,5.756,10.398,17.854,13.45,36.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.274,0,0,0,0,132.274,0,0
"99","Malibu",5,3,0,27,50,33,0,0,0,53,1,4,13,10,9,11,24,20.678,18.081,18.854,18.731,46.213,0.666,0.217,0.285,0.063,0.134,1.969,0.75,1,0.235,0.495,18.71,17.331,17.853,18.494,45.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.557,0,0,0,0,179.557,0,0
"100","Malibu Lake",2,3,0,27,50,33,0,0,0,0,0,0,4,0,0,0,0,6.363,0,0,0,0,0.205,0,0,0,0,0.606,0,0,0,0,5.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.363,0,0,0,0,6.363,0,0
"101","Manhattan Beach",8,4,0,26,66,33,0,0,0,1,0,0,1,1,0,0,1,1.591,1.808,0,0,1.926,0.051,0.022,0,0,0.006,0.151,0.075,0,0,0.021,1.439,1.733,0,0,1.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.325,0,0,0,0,6.325,0,0
"102","Mar Vista",5,2,11,30,54,37,1,1,0,30,0,0,5,22,22,6,15,7.954,39.778,46.088,10.217,28.885,0.255,0.477,0.697,0.034,0.085,0.756,1.65,2.446,0.129,0.31,7.195,38.128,43.641,10.088,28.574,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,162.922,0,8,0,8,170.922,489,4
"103","Marina del Rey",5,4,11,26,62,33,0,0,0,1,0,0,0,5,9,1,0,0,9.041,18.854,1.703,0,0,0.109,0.285,0.006,0,0,0.375,1.001,0.021,0,0,8.666,17.853,1.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.598,0,0,0,0,30.598,6,1
"104","Mayflower Village",3,5,0,22,48,32,0,0,0,5,0,0,1,0,2,0,0,1.591,0,4.19,0,0,0.051,0,0.063,0,0,0.151,0,0.222,0,0,1.439,0,3.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.781,0,0,0,0,10.781,0,0
"105","Maywood",7,1,0,33,63,40,26,0,0,10,0,0,0,0,1,0,4,0,0,2.095,0,7.702,0,0,0.032,0,0.022,0,0,0.111,0,0.083,0,0,1.984,0,7.62,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.797,70,0,0,70,89.797,0,0
"106","Mid City",4,2,10,30,54,37,0,0,189,12,0,0,5,3,23,13,8,7.954,5.424,48.183,22.136,15.405,0.256,0.065,0.727,0.074,0.045,0.757,0.225,2.556,0.279,0.165,7.196,5.199,45.624,21.857,15.239,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.102,18,0,0,18,129.102,204,10
"107","Mid-City West",4,3,5,26,50,28,3,2,0,114,0,0,3,1,6,13,25,4.772,1.808,12.57,22.137,48.141,0.153,0.022,0.19,0.075,0.141,0.454,0.075,0.666,0.277,0.517,4.317,1.733,11.902,21.856,47.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.428,0,0,0,0,203.428,398,11
"108","Miracle Mile",4,3,5,26,50,28,7,1,0,68,0,0,5,19,21,5,23,7.954,34.353,43.994,8.515,44.292,0.256,0.414,0.666,0.03,0.132,0.756,1.425,2.336,0.105,0.477,7.196,32.928,41.658,8.405,43.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.108,0,0,0,0,207.108,513,19
"109","Mission Hills",2,3,7,18,39,29,46,0,58,49,0,0,18,7,31,12,28,28.63,12.657,64.941,20.434,53.916,0.92,0.152,0.982,0.068,0.157,2.727,0.525,3.446,0.258,0.577,25.904,12.132,61.495,20.176,53.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.578,0,0,0,0,229.578,136,8
"110","Monrovia",3,5,0,25,41,27,13,0,0,14,0,0,2,1,5,0,5,3.182,1.808,10.475,0,9.629,0.102,0.022,0.159,0,0.029,0.302,0.075,0.555,0,0.104,2.878,1.733,9.919,0,9.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.094,0,0,0,0,39.094,0,0
"111","Montebello",7,1,0,32,49,38,2,3,0,37,0,0,41,49,49,6,30,65.219,88.597,102.651,10.217,57.767,2.097,1.063,1.551,0.035,0.169,6.208,3.675,5.446,0.128,0.619,59.005,84.923,97.202,10.087,57.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.451,0,0,0,0,361.451,0,0
"112","Monterey Park",3,1,0,22,49,27,0,0,0,12,0,0,1,3,1,1,0,1.591,5.424,2.095,1.703,0,0.051,0.066,0.032,0.006,0,0.151,0.225,0.111,0.021,0,1.439,5.199,1.984,1.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.813,0,0,0,0,22.813,0,0
"113","North El Monte",3,5,0,22,49,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","North Hills",2,3,12,18,46,29,40,1,0,172,0,0,12,5,14,49,22,19.089,9.04,29.328,83.437,42.363,0.614,0.109,0.444,0.281,0.124,1.817,0.375,1.556,1.051,0.454,17.27,8.666,27.772,82.382,41.908,0,0,0,0,0,0,0,0,0,0,0,4,5,11,0,0,0,0,0,0,0,0,355.257,0,15,0,15,370.257,392,21
"115","North Hollywood",2,3,2,18,39,29,49,23,272,127,0,0,60,65,111,7,37,95.441,117.524,232.532,11.92,71.246,3.069,1.411,3.514,0.041,0.207,9.084,4.875,12.34,0.149,0.763,86.349,112.65,220.19,11.768,70.483,0,43,0,0,0,0,0,0,0,18,61,24,3,7,0,0,0,0,0,0,0,0,655.663,43,92,0,135,790.663,630,133
"116","Northridge",2,5,12,27,38,30,0,0,0,19,0,0,10,5,24,5,1,15.908,9.04,50.277,8.514,1.926,0.512,0.109,0.76,0.029,0.006,1.513,0.375,2.668,0.107,0.021,14.392,8.665,47.608,8.406,1.905,0,0,30,88,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.665,97,0,0,97,201.665,118,23
"117","Norwalk",7,4,0,32,57,38,41,17,21,74,0,0,18,6,5,14,68,28.633,10.848,10.475,23.84,130.938,0.921,0.131,0.159,0.08,0.382,2.723,0.45,0.555,0.3,1.404,25.905,10.398,9.919,23.538,129.532,1.778,0,53,152,0,0,0,0,35,0,0,3,0,0,0,0,0,0,0,0,0,0,278.734,152,38,0,190,468.734,0,0
"118","Pacific Palisades",5,3,11,26,50,33,5,0,0,33,1,4,13,2,3,5,13,20.679,3.616,6.285,8.514,25.032,0.665,0.043,0.095,0.029,0.073,1.968,0.15,0.333,0.107,0.268,18.709,3.466,5.951,8.406,24.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.126,0,0,0,0,101.126,10,5
"119","Pacoima",2,3,7,18,39,29,2,3,23,61,0,0,23,21,45,4,18,36.586,37.968,94.271,6.811,34.662,1.176,0.456,1.424,0.023,0.102,3.481,1.575,5.001,0.085,0.372,33.1,36.395,89.266,6.725,34.288,0,0,8,21,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,271.298,21,8,0,29,300.298,194,25
"120","Palmdale",1,5,0,21,36,25,29,20,0,55,0,0,8,2,63,18,56,12.726,3.616,131.976,30.65,107.831,0.409,0.044,1.995,0.104,0.314,1.21,0.15,7.004,0.386,1.157,11.513,3.466,124.974,30.262,106.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.799,0,0,0,0,341.799,0,0
"121","Palms",5,3,5,26,50,37,1,0,0,89,0,0,28,19,26,8,36,44.539,34.353,54.468,13.623,69.322,1.432,0.413,0.823,0.046,0.202,4.238,1.425,2.888,0.17,0.744,40.296,32.928,51.575,13.45,68.577,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.305,4,0,0,4,309.305,185,14
"122","Palos Verdes Estates",8,4,0,26,66,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","Panorama City",2,3,6,18,46,29,64,7,0,39,0,0,18,5,11,4,23,28.632,9.04,23.045,6.812,44.29,0.92,0.109,0.35,0.023,0.131,2.724,0.375,1.222,0.085,0.476,25.904,8.665,21.822,6.725,43.813,0,0,54,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.819,154,0,0,154,304.819,294,22
"124","Paramount",6,4,0,33,63,40,2,0,0,30,0,0,10,14,4,8,9,15.908,25.312,8.38,13.622,17.331,0.512,0.305,0.127,0.046,0.051,1.514,1.05,0.444,0.171,0.186,14.392,24.265,7.935,13.45,17.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.553,0,0,0,0,110.553,0,0
"125","Pico Rivera",7,1,0,32,58,38,7,0,0,33,0,0,26,8,29,7,27,41.357,14.464,60.752,11.919,51.99,1.33,0.173,0.919,0.04,0.152,3.938,0.6,3.224,0.149,0.557,37.418,13.864,57.528,11.769,51.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.482,0,0,0,0,213.482,0,0
"126","Pico Union",4,1,1,24,53,34,21,0,0,45,0,0,9,17,11,13,41,14.316,30.738,23.045,22.138,78.949,0.46,0.369,0.349,0.075,0.231,1.363,1.275,1.224,0.277,0.847,12.952,29.463,21.821,21.856,78.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.186,0,0,0,0,214.186,192,28
"127","Pomona",3,1,0,20,52,35,123,3,228,177,0,0,21,9,25,31,30,33.406,16.272,52.373,52.788,57.769,1.073,0.196,0.794,0.177,0.17,3.178,0.675,2.778,0.663,0.62,30.221,15.597,49.594,52.12,57.148,0,131,46,132,28,1,3,0,72,40,97,18,2,6,0,0,0,0,0,0,0,0,389.608,294,193,0,487,876.608,0,0
"128","Porter Ranch",2,5,12,27,38,25,0,0,0,1,0,0,1,0,1,0,0,1.591,0,2.095,0,0,0.051,0,0.032,0,0,0.151,0,0.111,0,0,1.439,0,1.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.686,0,0,0,0,4.686,6,1
"129","Rampart Village",4,1,13,24,51,34,23,7,6,71,1,3,12,16,10,28,31,19.088,28.93,20.949,47.679,59.692,0.614,0.349,0.317,0.16,0.174,1.817,1.2,1.111,0.6,0.64,17.27,27.73,19.837,47.076,59.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.338,0,0,0,0,250.338,524,30
"130","Rancho Palos Verdes",8,4,0,26,66,33,0,0,0,0,0,0,0,0,1,0,0,0,0,2.095,0,0,0,0,0.032,0,0,0,0,0.111,0,0,0,0,1.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.095,0,0,0,0,2.095,0,4
"131","Redondo Beach",8,4,0,26,66,33,54,0,0,105,0,0,23,20,36,0,4,36.585,36.161,75.417,0,7.703,1.177,0.434,1.14,0,0.023,3.484,1.5,4.003,0,0.083,33.101,34.662,71.413,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.866,0,0,0,0,260.866,0,0
"132","Reseda",2,3,12,27,45,30,0,5,0,23,0,0,11,6,29,9,12,17.499,10.848,60.753,15.325,23.107,0.563,0.13,0.919,0.052,0.067,1.664,0.45,3.225,0.193,0.248,15.831,10.398,57.527,15.131,22.86,0,0,0,0,0,0,0,0,40,0,0,3,0,0,0,0,0,0,0,0,0,0,150.532,0,43,0,43,193.532,104,11
"133","Rolling Hills",8,4,0,26,66,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","Rolling Hills Estates",8,4,0,26,66,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","Rosemead",3,1,0,22,49,27,5,0,0,22,0,0,8,1,1,1,5,12.726,1.808,2.095,1.703,9.628,0.409,0.022,0.032,0.006,0.028,1.21,0.075,0.111,0.021,0.103,11.513,1.733,1.984,1.681,9.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.96,0,0,0,0,49.96,0,0
"136","Rowland Heights",3,4,0,29,55,39,0,0,0,12,0,0,4,4,3,1,2,6.363,7.232,6.285,1.703,3.852,0.204,0.087,0.096,0.006,0.012,0.605,0.3,0.333,0.021,0.042,5.756,6.932,5.952,1.681,3.81,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.435,8,0,0,8,45.435,0,0
"137","San Dimas",3,5,0,25,41,32,1,1,0,4,0,0,1,0,1,0,0,1.591,0,2.095,0,0,0.051,0,0.032,0,0,0.151,0,0.111,0,0,1.439,0,1.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.686,0,0,0,0,8,0,0
"138","San Fernando",2,3,0,18,39,29,0,0,0,8,0,0,5,1,7,0,1,7.953,1.808,14.665,0,1.926,0.255,0.022,0.221,0,0.006,0.757,0.075,0.777,0,0.021,7.195,1.733,13.885,0,1.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.352,0,0,0,0,34.352,0,0
"139","San Gabriel",3,5,0,22,49,27,14,0,0,5,0,0,0,0,1,0,1,0,0,2.095,0,1.926,0,0,0.032,0,0.006,0,0,0.111,0,0.021,0,0,1.984,0,1.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.021,0,0,0,0,9.021,0,0
"140","San Marino",3,5,0,25,49,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
