"","Community","SPA","SD","CD","ca_ssd","ca_sad","us_cd","DemogSurvCt","YouthSurvCt","SheltHmisCt","totStreetSingAdult","totStreetFamHH","totStreetFamMem","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","FamCarHH","FamVanHH","FamCamperHH","FamTentHH","FamEncampHH","FamCarPeople","FamVanPeople","FamCamperPeople","FamTentPeople","FamEncampPeople","IndCarPeople","IndVanPeople","IndCamperPeople","IndTentPeople","IndEncampPeople","totYouthFamHH","totESAdultSingAdult","totESAdultFamHH","totESAdultFamMem","totESYouthSingYouth","totESYouthFamHH","totESYouthFamMem","totESYouthUnaccYouth","totTHAdultSingAdult","totTHAdultFamHH","totTHAdultFamMem","totTHYouthSingYouth","totTHYouthFamHH","totTHYouthFamMem","totTHYouthUnaccYouth","totSHAdultSingAdult","totSHAdultFamHH","totSHAdultFamMem","totSHYouthSingYouth","totSHYouthFamHH","totSHYouthFamMem","totSHYouthUnaccYouth","totUnsheltPeople","totESPeople","totTHPeople","totSHPeople","totSheltPeople","totPeople","count_311","count_crime"
"141","San Pasqual",3,5,0,25,41,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","San Pedro",8,4,15,35,70,33,49,6,74,107,0,0,53,31,40,8,19,84.306,56.051,83.795,13.622,36.586,2.714,0.674,1.267,0.046,0.106,8.026,2.325,4.447,0.171,0.392,76.278,53.727,79.347,13.45,36.193,0,0,31,107,0,2,6,0,0,24,65,0,0,0,0,0,0,0,0,0,0,0,381.36,113,65,0,178,559.36,211,44
"143","Santa Clarita",2,5,0,21,38,25,1,0,116,10,0,0,29,16,35,2,3,46.131,28.929,73.323,3.406,5.777,1.484,0.349,1.11,0.011,0.017,4.388,1.2,3.889,0.043,0.062,41.736,27.729,69.431,3.363,5.715,0,56,31,89,4,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,167.566,149,14,0,163,330.566,0,0
"144","Santa Fe Springs",7,4,0,32,57,38,34,5,0,40,3,10,21,5,23,5,7,33.404,9.04,48.182,8.514,13.479,1.075,0.109,0.728,0.029,0.04,3.181,0.375,2.558,0.107,0.145,30.223,8.665,45.625,8.406,13.334,40.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.619,0,0,0,0,162.619,0,0
"145","Santa Monica",5,3,0,26,50,33,211,40,164,466,0,0,29,29,10,4,12,46.13,52.433,20.95,6.812,23.109,1.484,0.63,0.316,0.023,0.069,4.391,2.175,1.111,0.085,0.249,41.736,50.259,19.836,6.725,22.86,3.366,15,0,0,4,0,23,0,101,20,63,13,1,3,0,18,0,0,0,0,0,0,615.434,42,180,18,240,855.434,6,0
"146","Santa Susana Mountains",2,5,0,27,38,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","Sherman Oaks",2,3,2,18,46,30,2,0,0,29,0,0,7,4,6,1,6,11.134,7.232,12.57,1.703,11.554,0.358,0.087,0.191,0.006,0.034,1.06,0.3,0.667,0.021,0.124,10.074,6.932,11.903,1.681,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.193,0,0,0,0,73.193,257,15
"148","Sierra Madre",3,5,0,25,41,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"149","Signal Hill",7,4,0,33,70,47,0,0,0,4,0,0,8,3,2,0,1,12.726,5.424,4.19,0,1.926,0.409,0.065,0.063,0,0.006,1.211,0.225,0.222,0,0.021,11.513,5.199,3.967,0,1.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.266,0,0,0,0,28.266,0,0
"150","Silver Lake",4,1,13,24,43,28,0,5,0,10,0,0,8,6,10,6,33,12.726,10.848,20.949,10.217,63.543,0.409,0.131,0.317,0.035,0.184,1.21,0.45,1.111,0.128,0.681,11.513,10.398,19.837,10.087,62.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.283,0,0,0,0,128.283,126,8
"151","Skid Row",4,1,14,30,53,34,481,8,2520,808,0,0,21,2,6,403,205,33.404,3.616,12.57,686.216,394.725,1.075,0.043,0.19,2.297,1.149,3.18,0.15,0.668,8.661,4.228,30.223,3.466,11.902,677.563,390.502,0,1096,48,134,29,4,8,0,1213,0,0,66,0,0,0,0,0,0,0,0,0,0,1938.531,1249,1297,0,2546,4484.531,281,493
"152","South Central",4,1,9,30,59,37,196,2,685,107,0,0,14,29,34,99,91,22.27,52.435,71.226,168.572,175.223,0.716,0.631,1.077,0.564,0.51,2.12,2.175,3.781,2.126,1.877,20.148,50.261,67.446,166.448,173.343,0,277,70,200,0,0,0,0,65,0,0,2,0,0,0,0,0,0,0,0,0,0,596.726,477,67,0,544,1140.726,615,56
"153","South El Monte",3,1,0,22,57,38,0,2,0,6,0,0,3,3,11,0,7,4.772,5.424,23.043,0,13.479,0.153,0.065,0.349,0,0.039,0.454,0.225,1.223,0,0.145,4.317,5.199,21.821,0,13.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.718,0,0,0,0,52.718,0,0
"154","South Gate",7,1,0,33,59,44,20,0,0,41,0,0,14,17,17,3,12,22.27,30.737,35.615,5.108,23.108,0.717,0.369,0.539,0.017,0.068,2.118,1.275,1.891,0.064,0.249,20.149,29.462,33.723,5.044,22.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.838,0,0,0,0,157.838,0,0
"155","South Park",6,2,9,30,59,40,79,9,0,260,0,0,33,43,87,72,95,52.495,77.746,182.252,122.602,182.93,1.689,0.933,2.756,0.411,0.535,4.992,3.225,9.672,1.544,1.962,47.493,74.522,172.582,121.053,180.964,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878.025,19,0,0,19,897.025,776,67
"156","South Pasadena",3,5,0,25,41,27,0,0,0,8,0,0,2,0,0,0,0,3.181,0,0,0,0,0.102,0,0,0,0,0.303,0,0,0,0,2.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.181,0,0,0,0,11.181,0,0
"157","South San Gabriel",3,1,0,22,49,27,0,0,0,2,0,0,0,7,4,0,3,0,12.657,8.379,0,5.777,0,0.152,0.127,0,0.017,0,0.525,0.445,0,0.062,0,12.132,7.935,0,5.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.813,0,0,0,0,28.813,0,0
"158","South San Jose Hills",3,1,0,22,57,32,0,0,0,0,0,0,0,2,2,0,1,0,3.616,4.19,0,1.926,0,0.044,0.064,0,0.006,0,0.15,0.222,0,0.021,0,3.466,3.968,0,1.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.732,0,0,0,0,9.732,0,0
"159","South Vermont",6,2,8,30,59,37,65,5,19,109,1,3,55,24,27,22,35,87.485,43.393,56.563,37.461,67.394,2.816,0.521,0.854,0.125,0.196,8.33,1.8,3.001,0.471,0.722,79.156,41.595,53.558,36.989,66.671,0,85,160,458,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.296,545,0,0,545,949.296,276,49
"160","South Whittier",7,4,0,32,57,38,2,1,77,29,0,0,4,0,15,0,7,6.363,0,31.423,0,13.48,0.204,0,0.476,0,0.04,0.605,0,1.668,0,0.145,5.756,0,29.756,0,13.335,0,0,0,0,0,0,0,0,0,0,0,130,9,18,0,0,0,0,0,0,0,0,80.266,0,148,0,148,228.266,0,0
"161","Stevenson Ranch",2,5,0,27,38,25,0,0,0,0,0,0,1,0,0,0,0,1.591,0,0,0,0,0.051,0,0,0,0,0.151,0,0,0,0,1.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.591,0,0,0,0,1.591,0,0
"162","Studio City",2,3,2,18,46,30,4,0,0,16,0,0,4,7,2,7,14,6.363,12.656,4.19,11.92,26.958,0.205,0.152,0.063,0.039,0.078,0.605,0.525,0.222,0.15,0.29,5.757,12.132,3.967,11.77,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.087,0,0,0,0,78.087,274,29
"163","Sun Valley",2,5,2,25,39,28,92,5,146,68,0,0,14,22,99,1,35,22.271,39.777,207.393,1.703,67.394,0.716,0.478,3.134,0.006,0.196,2.118,1.65,11.007,0.021,0.723,20.148,38.128,196.386,1.681,66.671,1.209,141,7,20,3,3,7,0,19,0,0,42,0,0,0,0,0,0,0,0,0,0,406.538,171,61,0,232,638.538,279,23
"164","Sunland-Tujunga",2,5,7,25,39,28,11,1,0,56,0,0,1,3,15,3,5,1.591,5.424,31.423,5.108,9.628,0.051,0.065,0.475,0.017,0.028,0.151,0.225,1.668,0.064,0.104,1.439,5.199,29.755,5.044,9.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.174,0,0,0,0,109.174,207,4
"165","Sylmar",2,5,7,18,39,29,16,1,0,28,0,0,21,7,58,5,11,33.405,12.656,121.502,8.514,21.181,1.075,0.152,1.836,0.029,0.062,3.179,0.525,6.448,0.107,0.227,30.223,12.131,115.054,8.406,20.954,0,130,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.258,170,0,0,170,395.258,184,10
"166","Tarzana",2,3,5,27,45,30,8,1,0,25,0,0,0,1,19,0,12,0,1.808,39.802,0,23.108,0,0.022,0.602,0,0.068,0,0.075,2.113,0,0.249,0,1.733,37.69,0,22.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.718,0,0,0,0,89.718,227,14
"167","Temple City",3,5,0,22,49,27,0,0,0,12,0,0,1,2,0,0,3,1.591,3.616,0,0,5.777,0.051,0.043,0,0,0.017,0.151,0.15,0,0,0.062,1.439,3.466,0,0,5.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.984,0,0,0,0,22.984,0,0
"168","Topanga",2,3,0,27,50,33,0,0,0,51,0,0,14,4,6,5,12,22.269,7.232,12.569,8.514,23.106,0.717,0.087,0.19,0.029,0.067,2.12,0.3,0.667,0.107,0.248,20.149,6.933,11.902,8.406,22.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.69,0,0,0,0,124.69,0,0
"169","Torrance",8,4,0,35,66,43,11,0,0,28,0,0,14,18,18,5,2,22.27,32.545,37.709,8.514,3.852,0.716,0.393,0.57,0.028,0.012,2.118,1.35,1.999,0.107,0.042,20.148,31.196,35.706,8.407,3.81,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,132.89,0,12,0,12,144.89,0,0
"170","Unincorporated Antelope Valley",1,5,0,21,36,25,24,0,0,55,3,14,40,17,520,28,183,63.626,30.737,1089.328,47.679,352.369,2.047,0.37,16.458,0.159,1.026,6.057,1.275,57.81,0.601,3.776,57.567,29.462,1031.528,47.076,348.594,0,0,137,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1652.739,392,0,0,392,2044.739,0,0
"171","Unincorporated Catalina",8,4,0,26,70,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","Unincorporated Compton",6,2,0,35,64,44,0,0,0,14,0,0,1,4,44,1,2,1.591,7.232,92.175,1.703,3.851,0.051,0.087,1.393,0.006,0.011,0.151,0.3,4.891,0.021,0.041,1.439,6.933,87.283,1.681,3.81,0,0,127,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.552,363,0,0,363,483.552,0,0
"173","Unincorporated East Whittier",7,4,0,32,57,38,0,0,0,15,0,0,2,0,2,0,4,3.181,0,4.19,0,7.702,0.102,0,0.064,0,0.022,0.303,0,0.222,0,0.083,2.878,0,3.968,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.073,0,0,0,0,30.073,0,0
"174","Unincorporated Whittier",7,4,0,32,57,38,0,0,0,3,0,0,0,0,1,0,2,0,0,2.095,0,3.851,0,0,0.032,0,0.011,0,0,0.111,0,0.041,0,0,1.984,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.946,0,0,0,0,8.946,0,0
"175","Universal City",2,3,0,18,46,30,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3.851,0,0,0,0,0.011,0,0,0,0,0.041,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.851,0,0,0,0,4.851,0,1
"176","University Park",6,1,1,30,59,37,0,0,0,45,0,0,3,5,5,8,22,4.772,9.04,10.474,13.623,42.362,0.153,0.108,0.158,0.046,0.124,0.454,0.375,0.556,0.171,0.454,4.317,8.665,9.918,13.45,41.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.271,0,0,0,0,125.271,25,6
"177","US Department of Affairs West LA Campus",5,3,0,26,54,33,10,0,407,10,0,0,6,15,13,0,7,9.544,27.122,27.233,0,13.479,0.307,0.326,0.411,0,0.039,0.909,1.125,1.445,0,0.144,8.635,25.997,25.788,0,13.334,0,111,0,0,3,0,0,0,177,0,0,1,0,0,0,0,0,0,0,0,0,0,87.378,68,224,0,292,379.378,4,5
"178","Valinda",3,1,0,22,48,32,0,0,0,8,0,0,1,1,4,0,7,1.591,1.808,8.38,0,13.479,0.051,0.022,0.127,0,0.039,0.151,0.075,0.445,0,0.145,1.439,1.733,7.935,0,13.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.258,0,0,0,0,33.258,0,0
"179","Valley Village",2,3,2,18,46,30,0,8,0,31,0,0,8,3,18,5,17,12.725,5.424,37.708,8.514,32.736,0.409,0.065,0.57,0.029,0.096,1.211,0.225,2,0.107,0.353,11.513,5.199,35.707,8.406,32.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.107,0,0,0,0,128.107,94,28
"180","Van Nuys",2,3,2,18,46,29,109,7,0,72,0,0,20,10,44,45,82,31.813,18.08,92.173,76.626,157.896,1.021,0.217,1.394,0.257,0.46,3.028,0.75,4.891,0.964,1.695,28.781,17.33,87.282,75.658,156.202,0,0,0,0,0,0,0,15,50,0,0,5,0,0,0,0,0,0,0,0,0,0,448.588,15,55,0,70,518.588,724,70
"181","Venice",5,3,11,26,62,33,208,109,16,195,0,0,46,107,74,90,90,73.17,193.469,155.019,153.25,173.297,2.355,2.325,2.343,0.512,0.504,6.967,8.025,8.228,1.933,1.856,66.203,185.446,146.795,151.317,171.439,1.094,0,11,32,0,3,7,0,22,22,67,0,0,0,0,0,0,0,0,0,0,0,943.205,39,89,0,128,1071.205,520,69
"182","Vermont Square",6,2,8,30,54,37,85,4,603,189,1,7,29,33,55,37,98,46.13,59.665,115.219,63.004,188.701,1.483,0.717,1.742,0.211,0.548,4.392,2.475,6.114,0.793,2.023,41.735,57.192,109.102,62.208,186.68,0,313,0,0,6,0,0,0,23,22,77,2,0,0,0,0,0,0,0,0,0,0,668.719,319,102,0,421,1089.719,254,63
"183","Vernon",7,1,0,33,53,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"184","View Park-Windsor Hills",6,2,0,30,54,37,0,0,0,3,0,0,7,1,0,0,1,11.135,1.808,0,0,1.926,0.358,0.022,0,0,0.006,1.06,0.075,0,0,0.021,10.074,1.733,0,0,1.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.869,0,0,0,0,17.869,0,0
"185","Vincent",3,1,0,22,48,32,0,0,0,2,0,0,0,0,1,0,0,0,0,2.095,0,0,0,0,0.032,0,0,0,0,0.111,0,0,0,0,1.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.095,0,0,0,0,4.095,0,0
"186","Walnut",3,1,0,29,55,39,0,0,0,2,0,0,0,0,2,0,0,0,0,4.19,0,0,0,0,0.064,0,0,0,0,0.222,0,0,0,0,3.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19,0,0,0,0,6.19,0,0
"187","Walnut Park",7,1,0,33,59,44,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1.926,0,0,0,0,0.006,0,0,0,0,0.021,0,0,0,0,1.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.926,0,0,0,0,3.926,0,0
"188","Watts",6,2,15,35,64,44,22,2,0,121,0,0,7,7,18,1,12,11.135,12.656,37.709,1.703,23.106,0.358,0.151,0.57,0.006,0.067,1.059,0.525,2.001,0.021,0.247,10.074,12.131,35.706,1.681,22.859,0,0,81,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.309,232,0,0,232,439.309,86,21
"189","West Adams-Expo Park",4,2,10,30,54,37,82,4,12,55,4,11,71,27,55,10,23,112.936,48.818,115.218,17.029,44.29,3.633,0.586,1.738,0.057,0.13,10.753,2.025,6.115,0.214,0.476,102.181,46.794,109.1,16.813,43.815,0,0,0,0,0,0,0,0,17,0,0,0,7,14,0,0,0,0,0,0,0,0,404.291,0,31,0,31,435.291,145,24
"190","West Carson",8,2,0,35,66,43,0,0,0,17,0,0,1,7,27,5,11,1.591,12.656,56.562,8.514,21.181,0.051,0.152,0.855,0.029,0.062,0.151,0.525,3.002,0.107,0.227,1.439,12.132,53.56,8.406,20.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.504,0,0,0,0,117.504,0,1
"191","West Compton",6,2,0,35,64,44,0,0,0,4,0,0,14,7,90,0,2,22.269,12.657,188.542,0,3.851,0.717,0.152,2.848,0,0.011,2.12,0.525,10.006,0,0.041,20.149,12.132,178.538,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.319,0,0,0,0,231.319,0,0
"192","West Covina",3,1,0,22,48,32,36,1,0,79,0,0,11,3,8,4,17,17.498,5.424,16.759,6.812,32.735,0.562,0.065,0.255,0.023,0.096,1.665,0.225,0.889,0.085,0.351,15.83,5.199,15.871,6.725,32.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.228,0,0,0,0,158.228,0,0
"193","West Hills",2,5,12,27,45,30,1,0,0,2,0,0,5,7,26,1,3,7.954,12.656,54.467,1.703,5.777,0.255,0.152,0.825,0.006,0.017,0.756,0.525,2.891,0.021,0.062,7.195,12.131,51.577,1.681,5.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.557,0,0,0,0,84.557,109,4
"194","West Hollywood",4,3,0,26,50,28,5,6,0,92,0,0,0,2,0,1,4,0,3.616,0,1.703,7.703,0,0.044,0,0.006,0.023,0,0.15,0,0.021,0.083,0,3.466,0,1.681,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.022,0,0,0,0,105.022,0,0
"195","West Los Angeles",5,3,11,26,54,37,8,0,378,53,1,2,6,5,18,2,21,9.544,9.04,37.708,3.406,40.439,0.306,0.109,0.57,0.011,0.119,0.908,0.375,2.002,0.043,0.434,8.634,8.665,35.706,3.363,40.004,0,117,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.137,120,0,0,120,275.137,231,27
"196","West Puente Valley",3,1,0,22,48,32,5,0,0,4,0,0,3,2,8,0,0,4.772,3.616,16.759,0,0,0.153,0.044,0.254,0,0,0.454,0.15,0.89,0,0,4.317,3.466,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.147,0,0,0,0,29.147,0,0
"197","West Whittier-Los Nietos",7,4,0,32,57,38,5,0,0,36,1,3,3,5,10,5,10,4.773,9.04,20.949,8.514,19.256,0.153,0.108,0.316,0.028,0.056,0.453,0.375,1.111,0.107,0.207,4.317,8.665,19.836,8.407,19.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.532,0,0,0,0,101.532,0,0
"198","Westchester/Playa Del Rey",5,2,11,26,62,43,125,3,10,38,0,0,65,41,126,53,70,103.391,74.13,263.953,90.248,134.79,3.326,0.891,3.989,0.303,0.391,9.844,3.075,14.007,1.137,1.446,93.546,71.058,249.943,89.108,133.344,0,0,0,0,0,0,0,0,0,0,0,14,2,4,0,0,0,0,0,0,0,0,704.512,0,18,0,18,722.512,105,21
"199","Westlake",4,1,13,24,51,34,32,9,124,224,3,20,23,22,16,84,106,36.587,39.777,33.518,143.035,204.108,1.177,0.478,0.509,0.479,0.595,3.479,1.65,1.779,1.803,2.187,33.101,38.127,31.741,141.227,201.919,0,20,65,186,1,0,0,8,214,50,106,14,14,28,0,0,0,0,0,0,0,0,701.025,215,362,0,577,1278.025,581,156
"200","Westlake Village",2,3,0,27,44,26,0,0,0,2,0,0,1,0,0,0,0,1.591,0,0,0,0,0.051,0,0,0,0,0.151,0,0,0,0,1.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.591,0,0,0,0,3.591,0,0
"201","Westmont / West Athens",8,2,0,30,59,43,66,8,187,77,0,0,3,2,16,11,10,4.772,3.616,33.517,18.731,19.256,0.153,0.044,0.508,0.062,0.056,0.454,0.15,1.779,0.236,0.206,4.317,3.466,31.74,18.495,19.049,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.892,15,0,0,15,171.892,4,1
"202","Westside",5,3,5,30,54,37,0,1,0,24,0,0,6,6,7,19,18,9.545,10.848,14.665,32.353,34.661,0.306,0.13,0.222,0.109,0.101,0.907,0.45,0.778,0.407,0.372,8.634,10.399,13.886,31.943,34.289,0,0,59,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.072,169,0,0,169,295.072,271,10
"203","Westwood",5,3,5,26,54,33,6,0,3,97,0,0,8,3,4,6,11,12.725,5.424,8.38,10.217,21.182,0.408,0.066,0.127,0.035,0.062,1.211,0.225,0.444,0.128,0.228,11.512,5.199,7.935,10.087,20.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.928,0,0,0,0,154.928,148,16
"204","Whittier",7,4,0,32,57,38,57,9,301,58,0,0,15,10,22,1,7,23.861,18.08,46.087,1.703,13.48,0.768,0.217,0.698,0.006,0.04,2.271,0.75,2.445,0.021,0.145,21.588,17.33,43.642,1.681,13.335,0,0,8,22,0,0,0,0,28,0,0,3,0,0,0,0,0,0,0,0,0,0,161.211,22,31,0,53,214.211,0,0
"205","Whittier Narrows",3,1,0,22,57,38,0,0,0,22,0,0,0,7,5,17,6,0,12.657,10.474,28.947,11.553,0,0.152,0.158,0.097,0.034,0,0.525,0.556,0.365,0.124,0,12.132,9.918,28.582,11.429,0,0,3,19,0,2,7,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,85.631,26,4,0,30,115.631,0,0
"206","Willowbrook",6,2,0,35,64,44,8,3,0,31,0,0,33,16,106,0,9,52.492,28.929,222.06,0,17.33,1.688,0.348,3.355,0,0.051,4.997,1.2,11.784,0,0.186,47.492,27.73,210.269,0,17.144,0,13,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,351.811,14,9,0,23,374.811,4,0
"207","Wilmington",8,4,15,35,64,44,91,0,0,127,0,0,38,29,112,4,40,60.445,52.434,234.626,6.812,77.022,1.944,0.63,3.544,0.023,0.224,5.754,2.175,12.451,0.085,0.825,54.688,50.259,222.171,6.725,76.196,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558.339,40,0,0,40,598.339,159,44
"208","Wilshire Center-Koreatown",4,2,13,24,53,34,7,0,0,96,0,0,18,25,7,68,35,28.634,45.201,14.664,115.792,67.396,0.921,0.544,0.223,0.388,0.198,2.723,1.875,0.778,1.459,0.724,25.905,43.328,13.887,114.328,66.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.687,0,0,0,0,367.687,1008,52
"209","Winnetka",2,3,3,27,45,30,4,0,0,6,0,0,2,3,28,0,3,3.182,5.424,58.658,0,5.777,0.102,0.066,0.885,0,0.017,0.302,0.225,3.113,0,0.062,2.878,5.199,55.542,0,5.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.041,0,0,0,0,79.041,221,18
"210","Woodland Hills",2,3,3,27,45,30,7,0,0,16,0,0,2,3,24,6,6,3.182,5.424,50.278,10.217,11.555,0.102,0.065,0.761,0.034,0.035,0.302,0.225,2.669,0.129,0.125,2.878,5.199,47.609,10.088,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.656,0,0,0,0,96.656,522,7
"211","Unincorporated Palmdale",1,5,0,21,36,25,0,0,0,11,0,0,1,0,269,1,6,1.591,0,563.518,1.703,11.555,0.051,0,8.512,0.006,0.035,0.151,0,29.906,0.021,0.125,1.439,0,533.612,1.681,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589.367,0,0,0,0,589.367,0,0
